Count-435,Count-436,Count-435,Count-436
2950,50296,3815,40192
2836,44208,3916,35920
2954,40480,3823,33224
2954,37952,3992,31400
2781,33296,3883,27864
2692,30256,4105,25304
2921,28512,3865,23424
3484,25696,3739,20032
3069,22864,3937,18904
3201,21304,3843,16005
3809,19512,3722,16288
3442,17864,4470,14297
3666,16752,4351,14194
4255,15515,4297,12888
3440,14436,4992,12863
3401,14228,4043,12286
3613,13397,4204,12174
4141,12446,4322,11596
3567,12110,4755,11040
3908,11666,4709,10688
4086,11186,5099,10567
4041,11245,4762,9546
4170,10798,5116,10472
3941,10083,4587,9658
4059,10461,5024,10092
4096,9477,4629,9809
3715,10010,5265,10014
4193,9665,4904,8962
3832,8805,4818,9227
4191,9517,4562,9145
4128,8981,4738,8698
3642,8930,4886,8649
3897,8846,4536,8674
3636,9003,4482,8533
4237,8638,4650,7913
3804,8758,4421,8032
4039,8757,4271,8300
4435,8389,3857,8146
4049,8703,4041,8034
3735,8470,4162,7842
4413,8496,4464,8277
4009,8613,4543,7598
4220,7974,4445,7733
4232,8221,4830,8697
4542,8616,4527,8395
4395,8468,4267,8451
4525,9757,4383,8845
4261,9361,4643,9468
4530,9005,4753,10091
4646,10163,5328,11261
4412,10213,5096,10861
5631,10893,5643,11600
5195,12672,5365,12929
6092,13779,5629,13925
6893,15399,6083,14607
6729,17136,6319,17504
6525,19232,6333,19768
7524,22448,7054,22168
7901,26392,7239,25480
8107,31200,7572,27280
8480,34864,7277,32024
9861,41744,8720,35296
9697,48232,8672,40656
10275,55040,8537,47808
10992,61624,9419,52720
11195,72536,10268,57904
12835,77200,10490,63520
13228,83928,10627,70336
13781,92440,10843,74288
13465,101112,11396,79416
14200,106016,11350,85464
14427,113336,11745,89392
13595,116312,11124,94976
14061,124544,12007,102840
14153,131456,12683,109240
14778,136448,13012,114560
13777,144000,12507,119632
14182,146944,11677,118736
13012,150848,11041,118944
13311,152960,11148,119232
11632,154240,10651,116960
11929,151936,10099,116272
11484,155840,9658,115960
11273,152960,9265,113104
10847,152192,9228,111640
9895,143168,9122,108152
9495,134400,8439,105320
8710,128888,6984,99384
8020,118752,7982,89824
8494,107104,6775,81392
7675,95176,6967,75464
6946,84200,6229,67856
6954,73712,6535,59032
6594,64808,5678,52696
6195,58040,6179,46496
5524,51160,5811,40432
5957,45544,5587,35160
5602,39088,5448,32448
5502,36120,5203,27768
5137,32128,5504,25216
5602,29136,5145,23592
5340,27248,5090,21152
4661,25176,4947,20344
5518,24240,5193,19704
5256,23128,5292,20296
5395,22296,5345,20472
4738,23256,5454,19528
4887,23744,4961,19112
4706,22008,5441,20904
5164,25728,5463,20952
4744,24520,4866,20736
4752,26704,4893,20088
5141,26448,4844,21688
4976,27528,5270,21344
5211,29072,5252,22560
4811,27840,5143,22256
5152,29512,5732,22960
4883,28584,5764,24064
5198,29216,5648,23352
5277,29784,6524,25152
6101,30728,6254,24992
7572,31264,6872,25960
9818,31320,8701,27480
11365,28656,10553,27160
11515,25496,13938,28344
11732,22600,14462,26792
12829,22072,14815,22864
14813,23064,14624,20120
15420,22352,15110,19032
15803,23984,15950,20056
14957,25800,15888,19624
12992,25584,14369,20600
11799,26344,12547,19936
9395,25616,10464,19448
8483,24704,8507,18872
7276,22632,7991,18400
5964,21024,6813,17104
4986,19560,5588,15663
4516,15178,4368,14336
4115,13689,3928,13576
3885,12083,3738,11474
3545,10723,3291,10922
3396,8949,3202,9863
2752,8002,3135,8619
3170,6992,2747,7388
3107,6329,2831,6309
2806,5818,2766,5382
2654,4992,2714,5132
3139,4243,2822,4605
2981,4257,2998,4589
2949,3898,3109,4250
3025,4062,3040,3767
3231,4488,3527,3502
3750,4158,3386,3514
4024,3994,3782,3746
3919,4453,3708,3909
3948,4091,3603,3796
4099,4019,3653,3667
3552,4006,2913,4036
3401,3835,2906,3852
2974,3772,3106,4142
3146,4203,3262,3772
3215,4102,3010,3601
2655,3856,2293,3717
2538,3762,2505,3684
2257,3757,2373,3440
2135,4301,1830,3946
2155,3978,2027,3644
1536,3689,2035,3426
1771,3694,1597,3158
1870,3454,1685,2866
1924,3358,1938,3273
1682,3224,1375,3190
1893,2958,1756,3312
2045,3105,1564,2920
2004,3218,1685,3252
1722,3548,1695,3111
1508,3332,1637,3278
1893,3573,1717,3565
1715,4164,1511,3895
1679,4552,1785,4500
2007,5575,1825,4824
1580,6725,1566,6247
2126,8992,1601,6817
1971,11366,1687,8986
1988,15265,2098,11690
2174,18792,2031,14010
2202,22776,1999,16824
2320,26600,2140,19624
2710,30256,2311,22160
2933,32488,1892,24304
2687,33832,2228,25968
