Count-435,Count-436,Count-435,Count-436
3673,9554,4661,10147
3653,9658,4901,9306
3787,9106,4938,9344
3424,9094,5020,10036
3633,9323,4875,9116
3812,8683,4217,9711
3724,8665,4514,8970
3541,9001,4637,8699
3646,8118,4615,9018
3432,8378,4350,8197
3798,7963,5057,8777
3548,8545,4399,8407
3911,7698,4182,8677
3363,8302,4712,8050
4096,8242,4001,8502
3591,8283,4111,8080
3719,7357,4177,8451
3655,7469,4200,7573
3729,7806,3695,7875
3659,7095,3502,7687
3780,6836,4342,7107
3703,7164,4180,7900
3576,7119,4303,8060
3533,7195,4253,8228
3977,7429,4226,7806
3717,8331,4334,8432
3648,7831,4361,8497
4169,8170,5125,9367
4170,8479,5028,9167
4416,9372,5047,9696
4876,9799,5059,10121
5111,10318,4974,10958
5232,10825,6048,12663
5795,12842,6391,14089
5846,13564,5970,15626
6010,15374,6200,18208
7260,18960,5977,19616
6844,20712,6781,23136
7519,24296,6801,24880
7535,28512,7531,28480
7473,31912,7744,31760
7984,35896,7529,37032
9030,42152,8682,40272
8444,47104,8674,44904
9947,53136,9873,51392
9777,59952,9809,56864
11045,66024,10647,59368
10723,72352,10592,67944
11217,77848,11090,73056
11878,87368,11804,77872
12412,94568,11787,86056
12546,100696,11326,93480
12716,106808,12106,102176
12018,115040,12166,106080
12471,120104,11587,114104
12627,125528,11891,117872
11867,129632,11329,126120
12164,131648,11900,130272
11582,138688,11717,132800
12252,141312,11212,139456
10989,144448,10675,138624
11022,142144,11010,141504
10634,140864,10318,136064
9842,136256,10043,127232
9041,130664,9295,117800
9056,121656,8855,110080
8208,111776,7870,104272
8592,103344,7858,95032
7809,92680,6990,83536
6664,84720,6540,76144
6723,74968,6287,67040
6222,67496,5895,58384
6118,59928,5571,51224
5625,51616,5691,46832
5176,45784,5933,41064
5767,39648,5223,35992
5449,35832,5230,31600
5407,32760,5484,29600
5290,29336,5055,27952
4852,26736,5318,24856
5424,25032,4939,22632
5178,23488,4705,22568
4634,22336,5275,21480
4615,20584,4435,21152
5048,20352,5040,21256
4797,21544,4561,20224
4627,19944,4828,19936
4081,21080,4554,20088
4705,20848,5108,19992
4208,21664,4970,20536
4781,22128,4760,21760
4270,22936,4676,21336
4324,21904,4757,20656
4598,22944,4129,21520
4243,22368,4517,21504
4675,23288,4358,22080
4644,24456,4768,21776
5288,23504,3792,21040
4612,24376,3636,18192
4664,22664,3606,15677
4862,21384,3877,15734
4629,16712,4669,15810
5642,16952,5334,16992
6340,17064,6966,17264
