Count-435,Count-436,Count-435,Count-436
8765,94880,8638,104624
7905,87944,7731,96152
7135,80400,7793,86344
7383,72744,7310,77592
7024,65680,7414,70912
6572,59672,7020,62888
6545,54552,6751,55744
6693,48120,7075,49104
6118,42456,6410,44272
6179,37720,6609,39152
6210,34472,6375,33208
5492,29352,5907,30064
5613,26528,5908,25760
6203,23712,6226,25696
6049,22368,6150,24208
6565,20536,5876,22248
5799,20360,5842,20712
6409,18688,6084,21224
5980,19176,6287,19976
6065,19880,5787,21112
6181,19184,5705,20792
6210,19424,5449,20752
5844,18864,5807,22160
6202,18840,5541,21360
6561,20032,6039,21960
6088,19464,6063,23488
5977,19872,6336,23040
6268,20912,6211,25472
6084,21400,6301,23824
6670,20160,5989,24880
7088,21152,6096,25072
7069,23496,5987,26728
7367,24872,6693,27520
7734,24248,7088,29488
8392,26552,7410,29464
8490,27992,8257,29960
8824,28520,8162,30544
9474,27816,8567,31064
10411,29720,9535,31952
10862,30664,10416,33352
12205,30488,11880,33360
14487,32088,12773,33744
15501,30464,14437,34176
16704,29432,16584,34048
19528,29992,18864,33176
21184,28408,21768,33360
23632,28872,22312,33240
22208,28560,22096,31496
22376,27728,21288,31688
19720,27392,19472,30488
18832,27152,17280,27504
16512,26824,15624,27328
15479,25752,14033,26312
12467,24848,12501,26688
12689,23048,11480,25368
10777,23056,10709,22744
10275,22136,10368,20240
10802,20256,10379,19496
9961,18896,9479,18576
9595,17328,9460,17240
9511,16640,8683,15936
8874,15055,8304,15104
8922,14485,7965,13592
8596,12017,7698,12279
8324,11455,8285,11027
8032,10465,7797,10712
7760,9487,7925,10542
7940,9670,8154,9782
7677,8942,7776,10049
8260,8730,8419,8992
8231,8690,8205,9081
8360,8289,8952,8968
8467,8623,7972,9058
9322,8490,7804,8656
9326,8128,7680,8321
9346,8265,5869,7745
9112,8459,4807,6122
9630,8914,3926,4507
8970,8336,3589,4635
8883,8757,3539,4181
8788,8853,2881,4283
8575,8468,2888,4381
7856,8622,2807,4015
7727,7936,2424,3544
6074,7911,2533,3759
4366,6337,2073,4027
2844,4577,2167,3678
2225,3436,1862,3499
2065,3389,1790,3667
1747,3297,1853,3437
1537,3153,1560,3484
1499,2797,1567,3143
1448,2656,1791,3260
1628,2904,1683,3089
1515,2971,1837,3267
1511,3066,1678,3184
1532,2798,1658,3156
1503,2561,1416,2907
1292,2807,1474,3269
1313,2715,1667,3592
1591,2833,1814,3602
1606,3029,1926,4511
1277,3514,1381,5311
1455,4204,1765,6964
1362,5254,1853,8367
1286,5881,1642,10648
1520,7561,1951,12534
1453,9200,2076,14433
1542,11035,1801,17992
1494,13572,2510,19880
1634,15863,2040,22616
1810,17432,2247,23464
1643,19904,2228,26376
2218,21288,2626,26080
2288,21624,2596,25392
1924,22016,2637,27024
1974,23800,2547,26256
2074,23064,2378,26880
2277,24536,2374,27176
2127,24184,2184,27904
1925,24480,2324,29672
2093,25144,2323,32384
2443,27368,2169,35392
2066,29464,2269,37352
1588,31384,2150,40536
2006,34312,1966,43360
1783,38096,2022,44480
1876,39608,2262,44376
1966,40944,2379,43624
1993,40064,2192,41824
1749,40664,2439,38552
1855,38920,2494,37112
1927,38000,2417,33960
1946,32728,2235,29776
2072,29488,2743,27096
2139,26816,2431,23176
2068,24544,2355,21304
2127,21496,2410,19032
2135,19248,2264,18344
2030,17872,1836,16816
2168,15847,2053,15802
1922,14288,2082,15006
1692,12820,1998,14424
1912,12531,1908,14126
1813,12252,1750,13393
1621,11766,2033,13454
1720,12267,1808,13988
1566,11961,1883,16040
1294,12195,1918,17184
1543,13015,1840,19496
1740,14431,1775,23784
1684,16936,1633,26912
1416,18848,1791,32296
1723,22936,1830,37408
1522,25936,1782,43320
1564,32048,2347,51400
1508,35720,1897,58000
1597,43520,2225,63096
1706,45784,2451,63768
1968,52904,2130,68360
2054,57136,2493,70720
1786,62152,2327,72144
2155,63960,2734,69768
2046,61336,2861,64984
2258,60984,3495,59760
2367,57784,3119,54000
2458,54744,3780,50152
3131,49944,3900,41800
3087,45264,3673,38336
3542,39816,4335,32576
3267,34736,4174,27368
3897,30624,4749,24440
3536,25504,4505,19112
3759,22736,4377,16704
3798,19208,3815,14148
3192,16131,3835,11696
3772,14485,3733,10652
3516,12501,3033,9364
2927,9616,2943,7753
2781,9319,2931,7464
2518,7955,2698,6605
2522,6731,2535,6410
2578,6667,2438,6232
2403,5745,2649,5649
2462,5253,2519,5107
2141,5525,2229,5062
2027,4856,3000,5293
2309,4225,2903,5119
1917,4118,2519,5070
2062,4280,2252,4926
2267,4226,2442,4640
2125,4160,2697,5366
2243,4230,2297,4894
2057,3842,2524,5187
1992,4329,2909,5051
2303,3935,2676,4920
2199,4642,2949,4419
2115,3800,2598,4111
2234,4006,2813,4614
2270,3739,2436,4269
2369,4104,2653,3872
1983,3542,2379,4047
2246,3876,2474,3670
2419,3484,2248,3538
2240,3074,2105,3065
2303,3244,1932,3197
2344,3098,1952,3009
2244,2991,1820,2647
2053,2908,1689,2824
1932,2759,2120,2888
2007,2344,2092,2632
2203,2547,2195,2822
2092,2534,2946,2908
2249,2395,3143,3000
2601,2371,3926,3265
3055,2363,4882,3474
3371,2858,5869,4032
4452,2765,6878,4426
5301,3293,8391,4950
6173,3738,10475,4255
7365,3920,11709,5611
8632,4535,13120,5915
9993,5106,14226,6646
10833,5406,14885,6456
12554,5628,15832,7570
13481,5744,16046,6849
13684,6063,16496,6869
15778,6560,16020,7374
16381,6643,15203,6870
16400,7317,14774,6628
15222,6360,15583,7513
15062,6056,14331,6625
14463,6844,12955,6992
14318,6048,13301,7049
14162,6280,11976,6408
13214,6681,12834,6506
13222,6512,12348,6237
13441,6177,11952,6359
13104,5938,11341,6581
12463,6274,11828,6595
12317,6579,11922,7039
11738,6182,11814,6848
10999,6311,10467,6682
11484,6104,9737,6720
10271,5922,9543,5871
9380,5630,8542,6453
9157,5563,8180,5724
8097,5990,7071,5925
7381,5840,6266,5971
6607,5363,5698,5569
6102,5025,6025,5295
5383,4890,5646,5542
5024,4882,5444,5045
4738,4474,4883,4839
4822,4409,5193,4802
4779,4387,5290,4696
4387,4223,5915,4713
5221,4045,5743,4884
4896,4758,5612,4624
5252,4496,6180,5086
5566,5072,6811,5458
5996,5106,6795,6434
6844,5235,8401,6542
7796,5810,8282,7029
8207,5905,9639,8277
9202,7277,10653,8847
11073,8299,12405,10552
12300,9480,14571,10984
14447,10309,16095,12317
15732,12098,18632,13143
18456,13139,18904,15811
19200,13957,21984,16301
22072,15644,22296,17512
23760,17360,23200,19120
25840,20000,25024,21328
25024,20800,25888,24872
26168,24264,25848,29592
27056,28792,25544,32752
27024,33496,24968,39160
27152,40760,23408,50208
25280,51432,22600,57568
23840,63592,21056,71088
22784,77384,20760,84360
20704,90248,17912,98984
19888,109856,17720,116544
18440,125288,17640,134272
19376,143424,15913,150016
16864,158400,15217,165376
17064,169600,14580,174336
16456,184000,14627,180864
16680,187520,14153,187456
16728,192768,15486,190144
16808,196224,15864,186432
16268,194496,14980,179840
16112,183360,16008,170240
16720,172416,14960,155264
16184,156096,15024,139392
15707,143744,14426,120928
14936,127872,14292,105560
14697,114272,13591,92344
14335,100208,12764,75000
13060,80520,12014,61872
12897,69832,11272,51232
12307,56136,11158,40264
10814,45752,9610,32920
9743,37760,9325,27568
9623,29656,8164,22128
8266,24304,7452,19528
7901,20768,7555,16928
7266,17696,6609,14601
6882,15339,6207,13337
6318,14062,5974,12225
6173,13437,5926,11217
5714,11179,5329,10736
5405,10859,5423,10505
5108,10323,5555,9798
4973,10000,5558,9796
5075,9453,5361,8852
4859,8923,5871,9144
4593,8770,5827,8088
5114,8278,5429,8183
4396,7587,5562,7588
4785,7449,5686,8308
4527,7183,5361,7391
5283,6844,5686,7112
5189,6477,5648,7877
4871,6782,5214,7619
5111,6484,5175,7417
5149,7007,5556,7008
4825,6894,5584,7359
4994,6864,4981,8087
4830,6884,4960,8113
4793,7217,4316,8637
4738,6938,4317,8073
4706,7010,4421,8109
4354,6882,4233,9323
4210,7366,3996,8883
4191,7791,3638,8720
4529,8001,4189,9334
3977,7800,4286,9298
3867,7661,4264,9964
4308,8053,4002,10341
4098,8303,3873,10893
3690,9202,3787,11475
3797,8925,4122,11133
3404,9466,3705,12154
3695,10254,3548,11795
3631,9669,3706,12061
3589,10627,3938,14308
3414,11628,3546,13010
3504,11658,3746,14286
3896,11830,3662,14296
3486,12571,3588,13862
3487,12375,3862,14729
3607,12825,3405,14388
3460,12830,3416,15004
3335,12029,3300,14272
3366,11795,3702,14552
3149,12568,3612,13990
3171,12976,3561,13915
2939,12653,3691,13061
2934,12021,3178,12474
2966,11902,3598,12362
3192,11773,3371,12331
2965,11585,3468,12276
3162,12169,3343,11949
3139,11004,3528,11326
2953,11209,3379,10720
3016,10375,3423,11015
2980,10837,3587,10785
2997,10898,3741,10591
3037,10242,3709,11336
3264,9754,3993,10945
3449,9973,4006,10645
3411,10076,4530,10909
